customer,customer_lifetime_value,education,gender,income,monthly_premium_auto,number_of_open_complaints,policy_type,state,total_claim_amount,vehicle_class
RU83859,811033.31,Bachelor,none,11489.0,105.0,0.0,Personal Auto,California,504.0,Two-Door Car
FG63582,333976.49,Bachelor,none,0.0,94.0,0.0,Personal Auto,Oregon,863.327324,Two-Door Car
NN71951,2426101.78,High School or Below,none,66525.0,100.0,0.0,Personal Auto,California,104.331355,SUV
WB37082,661397.37,Bachelor,none,0.0,63.0,0.0,Personal Auto,Arizona,676.391482,Four-Door Car
SM52139,293069.35,College,none,33663.0,73.0,0.0,Personal Auto,WA,350.4,Four-Door Car
FL82372,867219.43,College,none,22547.0,112.0,0.0,Corporate Auto,Oregon,537.6,SUV
DP45816,1163866.93,High School or Below,none,61486.0,97.0,0.0,Personal Auto,AZ,465.258644,Two-Door Car
GW33762,684615.03,Bachelor,none,0.0,95.0,0.0,Personal Auto,Oregon,456.0,Two-Door Car
RZ33670,1172777.65,College,none,29879.0,102.0,0.0,Personal Auto,California,500.254235,Four-Door Car
PY70169,2264383.48,High School or Below,none,93011.0,113.0,0.0,Personal Auto,Oregon,281.451042,SUV
MO91628,261447.43,Master,none,65186.0,65.0,0.0,Personal Auto,Oregon,5.434505,Two-Door Car
HW87852,245175.27,Master,none,26840.0,64.0,0.0,Personal Auto,Oregon,307.2,Four-Door Car
HB20453,678127.02,Bachelor,none,0.0,104.0,0.0,Personal Auto,Oregon,982.399613,Luxury
BN87372,497480.15,Bachelor,none,75644.0,65.0,0.0,Personal Auto,Oregon,467.803638,Two-Door Car
YX23800,859160.49,Bachelor,none,38984.0,73.0,0.0,Personal Auto,Oregon,350.4,Four-Door Car
DZ87709,559216.14,High School or Below,none,71811.0,71.0,0.0,Personal Auto,Oregon,29.03416,Four-Door Car
XW13033,800947.28,College,none,20961.0,67.0,0.0,Personal Auto,Nevada,321.6,Four-Door Car
SP81997,182071.5176145921,Master,F,41275.0,96.0,0.0,Personal Auto,Washington,41.122303,Four-Door Car
OM82309,5816655.35,Bachelor,none,61321.0,186.0,0.0,Personal Auto,California,427.63121,Luxury
ZU35962,802522.94,College,none,0.0,77.0,0.0,Personal Auto,California,25.807685,Two-Door Car
VH85817,578018.22,High School or Below,none,51066.0,74.0,0.0,Personal Auto,California,787.993313,Four-Door Car
DT85712,411853.91,Doctor,none,34378.0,102.0,0.0,Personal Auto,California,489.6,SUV
YJ88573,252307.02,Master,none,43072.0,63.0,0.0,Personal Auto,Nevada,302.4,Four-Door Car
SQ19467,655421.64,College,none,25222.0,90.0,0.0,Personal Auto,Oregon,475.623251,Four-Door Car
YB66933,538275.2,Bachelor,F,77552.0,68.0,0.0,Corporate Auto,Washington,45.215059,Four-Door Car
ET79815,592672.94,College,none,23091.0,96.0,0.0,Personal Auto,California,460.8,Four-Door Car
QC35222,268347.07,Bachelor,none,48269.0,69.0,0.0,Corporate Auto,California,282.151207,Four-Door Car
CJ15590,269518.24,Bachelor,none,32720.0,67.0,0.0,Personal Auto,Oregon,321.6,Four-Door Car
OI48267,604702.52,College,none,20396.0,76.0,0.0,Personal Auto,California,364.8,Four-Door Car
JY67916,1317101.28,College,none,21513.0,119.0,0.0,Personal Auto,Oregon,679.827592,Two-Door Car
OW15518,1595001.95,College,F,0.0,87.0,0.0,Personal Auto,Washington,46.041452,Two-Door Car
CZ33664,252765.38,Bachelor,none,80744.0,63.0,0.0,Corporate Auto,Oregon,11.879037,Four-Door Car
WK30175,267209.58,Bachelor,none,52822.0,67.0,0.0,Corporate Auto,Oregon,350.529033,Two-Door Car
ON44465,531329.4,High School or Below,none,0.0,77.0,0.0,Personal Auto,California,863.3947,Four-Door Car
TV87155,2094619.25,Bachelor,none,69738.0,74.0,0.0,Personal Auto,Oregon,492.127532,Four-Door Car
KH48895,837535.39,Master,none,17780.0,109.0,0.0,Personal Auto,AZ,132.588288,SUV
NZ30757,480166.15,Bachelor,none,18107.0,62.0,0.0,Personal Auto,California,297.6,Four-Door Car
RI22468,574594.33,Bachelor,none,57740.0,74.0,0.0,Personal Auto,AZ,269.905129,Four-Door Car
FZ30935,606611.6,College,none,32627.0,76.0,0.0,Personal Auto,Oregon,380.036697,Two-Door Car
UG93476,800230.83,College,none,0.0,107.0,0.0,Personal Auto,California,513.6,SUV
AB96670,239391.54,College,none,0.0,70.0,0.0,Personal Auto,California,425.266308,Four-Door Car
XK64261,476281.79,Bachelor,none,65795.0,62.0,0.0,Corporate Auto,Oregon,49.011099,Two-Door Car
EV68375,433038.6,College,none,60475.0,107.0,0.0,Personal Auto,California,513.6,Four-Door Car
UN51653,940272.98,High School or Below,none,0.0,130.0,0.0,Personal Auto,California,936.0,SUV
TO96662,696669.45,Bachelor,none,41837.0,88.0,0.0,Personal Auto,Oregon,142.062768,Four-Door Car
MR52087,769406.43,Bachelor,none,32303.0,65.0,0.0,Personal Auto,California,45.152521,Four-Door Car
DE75225,871756.11,High School or Below,none,0.0,117.0,0.0,Personal Auto,Oregon,561.6,SUV
EP80820,592874.85,Bachelor,none,40531.0,74.0,0.0,Personal Auto,California,30.567357,Two-Door Car
GU99037,245297.73,College,none,79898.0,62.0,0.0,Corporate Auto,Oregon,271.606799,Four-Door Car
WI57118,670157.17,College,none,56398.0,85.0,0.0,Personal Auto,California,408.0,Four-Door Car
GP39118,499655.27,High School or Below,M,71600.0,63.0,0.0,Personal Auto,Washington,46.158117,Two-Door Car
MQ14219,849269.88,College,none,27804.0,109.0,0.0,Personal Auto,AZ,784.8,SUV
KN20603,771349.4,Bachelor,none,45506.0,66.0,0.0,Personal Auto,Oregon,316.8,Four-Door Car
SG20925,518579.76,Master,F,99428.0,6464.0,0.0,Personal Auto,Washington,48.046869,Four-Door Car
JI70886,729006.98,High School or Below,none,0.0,102.0,0.0,Corporate Auto,California,489.6,SUV
VF72557,477294.38,High School or Below,none,20993.0,133.0,0.0,Personal Auto,Oregon,638.4,SUV
OX28638,680649.14,High School or Below,none,37839.0,86.0,0.0,Personal Auto,AZ,465.633954,Two-Door Car
SK55033,246978.13,Bachelor,none,92711.0,62.0,0.0,Personal Auto,California,368.400146,Two-Door Car
OO88645,310392.3,College,none,74665.0,78.0,0.0,Corporate Auto,California,236.902001,Four-Door Car
FM14335,1048491.54,College,F,61108.0,89.0,0.0,Personal Auto,Washington,49.451117,Four-Door Car
CW82151,890273.76,Bachelor,none,46833.0,112.0,0.0,Personal Auto,California,64.109663,Luxury
DY22043,549944.72,High School or Below,none,88768.0,68.0,0.0,Personal Auto,Oregon,326.4,Two-Door Car
SH36774,1502359.86,High School or Below,none,28262.0,192.0,0.0,Personal Auto,California,921.6,Luxury
EM43724,250910.79,Bachelor,none,33555.0,63.0,0.0,Personal Auto,Nevada,101.89645,Four-Door Car
FH85960,3122174.81,College,none,42780.0,113.0,0.0,Personal Auto,Oregon,542.4,Four-Door Car
XA55993,313350.34,Master,none,58850.0,78.0,0.0,Personal Auto,Oregon,143.747794,Four-Door Car
GO36627,383745.19,College,none,21880.0,97.0,0.0,Special Auto,AZ,424.077159,Four-Door Car
QH48047,1179049.62,College,none,25251.0,66.0,0.0,Personal Auto,Oregon,316.8,Four-Door Car
HS28694,282986.39,High School or Below,F,25317.0,71.0,0.0,Personal Auto,Washington,50.422181,Two-Door Car
UH65059,430580.83,High School or Below,none,24188.0,109.0,0.0,Personal Auto,AZ,523.2,Luxury
FV21968,597397.69,Bachelor,none,41611.0,74.0,0.0,Special Auto,Nevada,113.801497,Four-Door Car
QA87025,567044.24,Bachelor,none,28406.0,72.0,0.0,Personal Auto,Oregon,192.87572,Four-Door Car
TQ13499,473174.93,College,none,69833.0,118.0,0.0,Personal Auto,AZ,828.662719,Four-Door Car
BU44523,802637.96,High School or Below,none,0.0,74.0,0.0,Corporate Auto,AZ,532.8,Four-Door Car
MS41162,402296.35,High School or Below,none,0.0,117.0,0.0,Personal Auto,AZ,975.107098,SUV
PU25891,961831.09,High School or Below,none,80536.0,119.0,0.0,Special Auto,Oregon,53.798708,Luxury
LH92841,725595.38,Bachelor,F,88891.0,89.0,0.0,Personal Auto,Washington,50.528355,Four-Door Car
SX26335,955292.69,College,none,97732.0,79.0,0.0,Personal Auto,Oregon,289.9122,Four-Door Car
AZ95587,1038855.32,Bachelor,F,61222.0,89.0,0.0,Special Auto,AZ,392.604371,Four-Door Car
DS81757,247012.12,College,M,0.0,74.0,0.0,Personal Auto,Oregon,721.242206,Two-Door Car
OJ94107,561906.85,Master,M,50335.0,140.0,0.0,Personal Auto,AZ,456.52385,SUV
LP84436,904711.92,High School or Below,F,0.0,127.0,0.0,Personal Auto,California,1087.995426,Luxury
FF22360,268731.41,Doctor,F,82210.0,68.0,0.0,Personal Auto,Washington,51.961915,Four-Door Car
LM19287,373150.46,High School or Below,F,0.0,96.0,0.0,Personal Auto,Oregon,460.8,Four-Door Car
ZU18643,366077.03,Bachelor,M,64495.0,92.0,0.0,Corporate Auto,Nevada,251.992083,Four-Door Car
AZ82578,792882.93,College,F,0.0,72.0,0.0,Corporate Auto,California,345.6,Four-Door Car
XC67861,501175.16,Bachelor,F,28859.0,67.0,0.0,Corporate Auto,Arizona,321.6,Two-Door Car
YC43143,798825.83,High School or Below,F,77330.0,99.0,0.0,Personal Auto,Arizona,99.257608,Four-Door Car
EK59571,388545.64,College,M,0.0,105.0,0.0,Corporate Auto,Oregon,504.0,Four-Door Car
PA38372,935773.78,High School or Below,F,33060.0,117.0,0.0,Personal Auto,Washington,56.731578,Four-Door Car
RO18530,254068.98,Master,M,42557.0,65.0,0.0,Personal Auto,Washington,57.562324,Four-Door Car
PD27940,488516.25,High School or Below,M,26372.0,126.0,0.0,Personal Auto,Arizona,604.8,SUV
BS77946,975330.71,Bachelor,F,17514.0,127.0,0.0,Personal Auto,Arizona,8.312729,SUV
YM50253,294615.37,Bachelor,F,89270.0,74.0,0.0,Personal Auto,California,316.599228,Four-Door Car
NR15332,258111.09,High School or Below,M,29757.0,65.0,0.0,Personal Auto,California,312.0,Four-Door Car
RC62865,351738.58,College,M,51814.0,92.0,0.0,Personal Auto,Oregon,56.300724,Four-Door Car
CC15295,974335.01,Bachelor,F,24028.0,82.0,0.0,Personal Auto,Oregon,393.6,Four-Door Car
KA61892,387364.7,College,M,28142.0,105.0,0.0,Personal Auto,Arizona,701.708239,Luxury
OS94884,764928.2,Bachelor,F,52705.0,64.0,0.0,Personal Auto,Arizona,128.705563,Two-Door Car
ND87334,228759.69,High School or Below,M,0.0,63.0,0.0,Corporate Auto,California,679.368378,Two-Door Car
OY51402,825576.39,High School or Below,F,54040.0,103.0,0.0,Personal Auto,Washington,59.987126,SUV
YL74911,871492.21,College,F,0.0,118.0,0.0,Personal Auto,California,566.4,SUV
GK92563,681923.12,Doctor,F,22492.0,85.0,0.0,Personal Auto,Washington,61.654262,Two-Door Car
HL53154,741619.73,Bachelor,M,0.0,77.0,0.0,Personal Auto,California,554.4,Four-Door Car
RI78966,777115.9,Master,M,21876.0,68.0,0.0,Personal Auto,Oregon,465.41477,Four-Door Car
IC13702,696834.19,Bachelor,F,0.0,69.0,0.0,Personal Auto,California,496.8,Four-Door Car
BE10809,425028.26,High School or Below,F,0.0,61.0,0.0,Personal Auto,California,292.8,Four-Door Car
HT87217,1977656.65,High School or Below,F,70699.0,82.0,0.0,Personal Auto,Oregon,256.813837,Four-Door Car
TH95618,2134346.6,High School or Below,F,0.0,74.0,0.0,Personal Auto,California,355.2,Four-Door Car
TS19868,241313.97,College,M,27501.0,63.0,0.0,Personal Auto,California,542.319401,Four-Door Car
LP45550,1536384.72,Doctor,F,15897.0,101.0,0.0,Personal Auto,Oregon,303.148399,Four-Door Car
QR87004,845696.19,College,F,25141.0,73.0,0.0,Personal Auto,Nevada,25.438063,Four-Door Car
OE75747,218964.25,College,F,0.0,61.0,0.0,Personal Auto,Nevada,292.8,Four-Door Car
DX91392,578018.22,High School or Below,M,51066.0,74.0,0.0,Personal Auto,California,787.993313,Four-Door Car
AB72731,463998.16,Bachelor,F,28358.0,117.0,0.0,Personal Auto,California,84.024413,Luxury
GX84338,382443.13,Doctor,F,62530.0,95.0,0.0,Personal Auto,Washington,61.693771,Four-Door Car
IS12901,596811.89,Bachelor,F,90972.0,74.0,0.0,Personal Auto,Arizona,232.926145,Two-Door Car
BN90616,859033.5,Bachelor,F,63110.0,72.0,0.0,Personal Auto,Washington,68.179721,Four-Door Car
HH90090,407663.47,Bachelor,F,29549.0,104.0,0.0,Personal Auto,California,710.433775,Luxury
IU25463,1225260.18,Bachelor,F,0.0,115.0,0.0,Personal Auto,California,552.0,Four-Door Car
KC11055,1693627.15,Bachelor,F,39411.0,217.0,0.0,Personal Auto,Nevada,1122.658899,Luxury
PD33979,489243.55,High School or Below,M,21709.0,62.0,0.0,Personal Auto,Oregon,408.374746,Four-Door Car
NK71023,994230.48,Bachelor,M,67890.0,85.0,0.0,Personal Auto,Nevada,408.0,Four-Door Car
AB13432,373583.81,Bachelor,M,0.0,110.0,0.0,Personal Auto,California,792.0,SUV
OZ97704,1311752.22,High School or Below,F,84311.0,111.0,0.0,Personal Auto,California,532.8,SUV
UF46533,457452.41,College,F,99316.0,114.0,0.0,Corporate Auto,California,754.358929,SUV
XP47431,547006.06,Bachelor,F,54507.0,138.0,0.0,Personal Auto,Arizona,702.990032,SUV
GK73582,297884.6,Bachelor,F,64586.0,76.0,0.0,Personal Auto,California,206.837111,Four-Door Car
RV98763,641096.75,College,M,61709.0,82.0,0.0,Personal Auto,Oregon,275.395894,Four-Door Car
II62831,447902.31,Master,M,94656.0,111.0,0.0,Special Auto,California,459.738128,SUV
XK33449,238373.19,High School or Below,F,0.0,69.0,0.0,Special Auto,California,496.8,Two-Door Car
TR85083,276449.37,Bachelor,M,61085.0,70.0,0.0,Personal Auto,California,336.0,Two-Door Car
EO95328,792010.54,Bachelor,F,89284.0,67.0,0.0,Personal Auto,Oregon,321.6,Two-Door Car
EN21086,688909.8,High School or Below,F,0.0,63.0,0.0,Personal Auto,Arizona,302.4,Four-Door Car
YL83902,327419.46,Bachelor,F,31686.0,81.0,0.0,Personal Auto,WA,430.994107,Four-Door Car
AZ62651,995170.77,High School or Below,M,56855.0,255.0,0.0,Corporate Auto,Oregon,1836.0,Luxury
ZW25874,252155.57,Bachelor,M,53703.0,67.0,0.0,Special Auto,Oregon,67.632476,Four-Door Car
EH41854,2370611.34,High School or Below,F,0.0,96.0,0.0,Personal Auto,WA,844.481918,Two-Door Car
MW70227,604702.52,College,M,20396.0,76.0,0.0,Personal Auto,California,364.8,Four-Door Car
SL22297,1114030.25,Master,F,27679.0,150.0,0.0,Personal Auto,California,722.486994,SUV
RV14138,433406.41,Bachelor,F,23904.0,123.0,0.0,Personal Auto,Nevada,590.4,SUV
UO62808,279974.79,High School or Below,F,65351.0,69.0,0.0,Corporate Auto,Arizona,481.027516,Four-Door Car
ZX64745,792313.66,College,M,0.0,113.0,0.0,Personal Auto,California,1124.427734,SUV
FL34139,368811.09,High School or Below,M,0.0,63.0,0.0,Personal Auto,California,669.682001,Four-Door Car
TS11219,1206745.6,College,M,0.0,116.0,0.0,Personal Auto,California,1284.093173,SUV
XX12304,292497.67,College,F,64459.0,72.0,0.0,Personal Auto,California,240.259479,Four-Door Car
SD64087,1501409.27,College,M,32961.0,190.0,0.0,Corporate Auto,California,912.0,SUV
OY38576,927723.38,High School or Below,F,71416.0,116.0,0.0,Corporate Auto,Oregon,556.8,SUV
BG76355,627412.39,Bachelor,F,68964.0,78.0,0.0,Personal Auto,WA,115.086827,Four-Door Car
IP66913,388664.74,High School or Below,M,78108.0,98.0,0.0,Personal Auto,Cali,470.4,Two-Door Car
LE95702,438627.76,College,M,10621.0,67.0,0.0,Special Auto,Cali,321.6,Four-Door Car
KX54357,1136526.77,College,M,84910.0,95.0,0.0,Corporate Auto,WA,383.167471,Two-Door Car
EZ78112,561096.43,High School or Below,F,77493.0,70.0,0.0,Special Auto,Cali,307.963291,Four-Door Car
XN16891,291289.2,College,M,81097.0,74.0,0.0,Personal Auto,Arizona,355.2,Four-Door Car
XK31350,691572.99,College,F,96610.0,85.0,0.0,Corporate Auto,Oregon,520.364752,Four-Door Car
CC30924,626266.33,College,M,30110.0,159.0,0.0,Corporate Auto,Oregon,466.436375,Luxury
IT78748,650339.7,High School or Below,F,22081.0,84.0,0.0,Special Auto,Oregon,451.670309,Two-Door Car
KY33386,800739.94,High School or Below,F,0.0,112.0,0.0,Personal Auto,WA,537.6,Luxury
CO44221,292991.65,College,M,98473.0,72.0,0.0,Personal Auto,Cali,345.6,Four-Door Car
LK60013,596955.3,Bachelor,F,97431.0,74.0,0.0,Personal Auto,Oregon,355.2,Four-Door Car
DE21533,547315.99,Bachelor,M,93870.0,69.0,0.0,Personal Auto,Cali,331.2,Four-Door Car
YS94121,564539.67,High School or Below,M,50366.0,72.0,0.0,Personal Auto,Nevada,428.734656,Four-Door Car
UK68427,636926.24,High School or Below,M,34498.0,83.0,0.0,Personal Auto,WA,398.4,Two-Door Car
TE49565,1183376.73,College,F,16552.0,103.0,0.0,Personal Auto,Oregon,494.4,SUV
RA88421,612110.79,College,F,26787.0,77.0,0.0,Personal Auto,Oregon,369.6,Four-Door Car
KQ51983,515936.97,College,M,0.0,74.0,0.0,Personal Auto,Nevada,831.752839,Two-Door Car
CD88896,251459.2,High School or Below,F,43860.0,65.0,0.0,Corporate Auto,Nevada,156.124914,Four-Door Car
YV22553,866861.13,High School or Below,M,21474.0,114.0,0.0,Corporate Auto,Arizona,373.428187,SUV
WU14435,496096.54,Bachelor,M,18174.0,66.0,0.0,Corporate Auto,Cali,395.934815,Four-Door Car
XV84099,550413.9,Bachelor,F,0.0,73.0,0.0,Corporate Auto,Arizona,350.4,Four-Door Car
RI24911,750745.54,College,M,60920.0,64.0,0.0,Personal Auto,Arizona,231.201886,Two-Door Car
KO26461,3226985.14,High School or Below,M,41520.0,90.0,0.0,Personal Auto,Arizona,289.904105,Four-Door Car
HI14283,565703.16,Bachelor,F,0.0,152.0,0.0,Personal Auto,Oregon,729.6,SUV
PT50227,506175.79,High School or Below,M,0.0,68.0,0.0,Personal Auto,Arizona,326.4,Two-Door Car
BH36570,591278.38,Bachelor,M,72208.0,73.0,0.0,Personal Auto,Cali,350.4,Two-Door Car
TX17484,1518227.98,Bachelor,F,53863.0,63.0,0.0,Personal Auto,Cali,105.765111,Four-Door Car
CT41158,1074703.09,College,M,66446.0,136.0,0.0,Corporate Auto,WA,639.464548,SUV
AO87348,205062.35,College,M,0.0,61.0,0.0,Personal Auto,WA,292.8,Four-Door Car
DE55857,246544.49,Bachelor,F,64997.0,63.0,0.0,Personal Auto,WA,383.442328,Four-Door Car
LF66923,534312.13,High School or Below,F,64460.0,66.0,0.0,Corporate Auto,Nevada,316.8,Two-Door Car
CN24514,811982.91,College,F,46618.0,67.0,0.0,Personal Auto,Arizona,99.085943,Four-Door Car
UW32074,460526.52,College,F,0.0,64.0,0.0,Corporate Auto,Oregon,307.2,Four-Door Car
HP36979,640878.56,College,M,49988.0,84.0,0.0,Personal Auto,Cali,566.935022,Two-Door Car
PP40919,237653.35,College,F,0.0,91.0,0.0,Personal Auto,Cali,436.8,Two-Door Car
RO73268,321107.0,Bachelor,M,16269.0,86.0,0.0,Corporate Auto,Cali,412.8,Two-Door Car
HO61691,509452.23,Bachelor,F,72006.0,64.0,0.0,Personal Auto,Arizona,307.2,Four-Door Car
BS13062,2575527.82,High School or Below,F,0.0,81.0,0.0,Personal Auto,Arizona,388.8,Four-Door Car
FO35655,867222.97,Bachelor,M,0.0,245.0,0.0,Corporate Auto,Oregon,2345.413441,Luxury
HR10526,804473.07,Master,M,44320.0,67.0,0.0,Personal Auto,Cali,321.6,Four-Door Car
IA63417,400151.91,High School or Below,F,19782.0,108.0,0.0,Personal Auto,Arizona,773.470977,Two-Door Car
BH35016,1670611.7,Bachelor,F,63933.0,70.0,0.0,Personal Auto,Nevada,424.883448,Two-Door Car
PK52952,854441.11,Doctor,M,28224.0,109.0,0.0,Personal Auto,Arizona,523.2,SUV
OD76309,780531.29,College,F,21073.0,106.0,0.0,Personal Auto,WA,508.8,SUV
IL28481,611275.69,Bachelor,M,63243.0,77.0,0.0,Personal Auto,Oregon,364.240307,Four-Door Car
GY55092,477294.38,High School or Below,M,20993.0,133.0,0.0,Personal Auto,Nevada,638.4,SUV
UF33451,1097909.56,Bachelor,F,94827.0,135.0,0.0,Personal Auto,Oregon,354.729129,SUV
CF15558,500426.38,Master,F,39161.0,63.0,0.0,Personal Auto,Cali,283.995953,Two-Door Car
JM62924,1322304.38,Bachelor,M,37534.0,84.0,0.0,Personal Auto,WA,403.2,Four-Door Car
EM66435,262331.54,Bachelor,F,80210.0,65.0,0.0,Corporate Auto,Oregon,20.543176,Four-Door Car
QX45933,1784019.56,Bachelor,M,0.0,62.0,0.0,Personal Auto,Cali,385.115437,Four-Door Car
JI71369,510611.18,College,F,30110.0,64.0,0.0,Personal Auto,Cali,140.165035,Four-Door Car
JU93290,1793060.45,College,F,21708.0,68.0,0.0,Personal Auto,Arizona,326.4,Four-Door Car
GU66096,545734.26,High School or Below,M,94731.0,67.0,0.0,Personal Auto,Arizona,321.6,Four-Door Car
